id,activity_date,day_type,week_number,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,sleep_efficiency,type_of_sleeper,sedentary_percentage
3372868164,2016-04-08,Weekday,14,Sedentary User,5551,5551,0,0,1158,1815,,,,80.42
3372868164,2016-04-09,Weekend,14,Moderate Mover,8827,8827,21,10,1063,2062,,,,73.82
3372868164,2016-04-10,Weekend,14,High Efficiency Mover,4662,4662,22,4,735,1276,,,,51.04
3977333714,2016-04-01,Weekday,13,Sedentary User,4499,4499,0,0,842,1288,,,,58.47
3977333714,2016-04-02,Weekend,13,Low Intensity Mover,7618,7618,0,6,842,1490,,,,58.47
3977333714,2016-04-03,Weekend,13,Moderate Mover,11508,11508,29,22,748,1630,,,,51.94
3977333714,2016-04-04,Weekday,14,Moderate Mover,11943,11943,16,43,710,1648,,,,49.31
3977333714,2016-04-05,Weekday,14,Moderate Mover,12303,12303,26,32,605,1649,213,0.63,Restless,42.01
3977333714,2016-04-06,Weekday,14,Moderate Mover,15425,15425,24,45,614,1783,,,,42.64
3977333714,2016-04-07,Weekday,14,High Efficiency Mover,8422,8422,0,81,815,1431,,,,56.6
3977333714,2016-04-08,Weekday,14,High Efficiency Mover,10226,10226,0,101,685,1524,,,,47.57
3977333714,2016-04-09,Weekend,14,Moderate Mover,14583,14583,35,36,697,1697,,,,48.4
3977333714,2016-04-10,Weekend,14,High Efficiency Mover,3573,3573,15,8,866,1232,,,,60.14
3977333714,2016-04-11,Weekday,15,Low Intensity Mover,3108,3108,1,1,894,1223,,,,62.08
3977333714,2016-04-12,Weekday,15,Sedentary User,759,759,0,0,187,182,,,,12.99
4020332650,2016-03-12,Weekend,10,Sedentary User,5543,5543,0,0,757,2990,,,,52.57
4020332650,2016-03-13,Weekend,10,Sedentary User,3226,3226,0,0,771,2480,,,,53.54
4020332650,2016-03-14,Weekday,11,Sedentary User,3023,3023,0,0,1005,2570,,,,69.79
4020332650,2016-03-15,Weekday,11,Moderate Mover,5906,5906,0,10,874,3016,,,,60.69
