id,activity_date,day,day_type,week_number,movement_quality,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,
4020332650,2016-03-26,Saturday,Weekend,12,0,Sedentary User,4370,4370,0,0,0,1440,3444,
4020332650,2016-03-27,Sunday,Weekend,12,0,Sedentary User,7144,7144,0,0,0,1440,3510,
4020332650,2016-03-28,Monday,Weekday,13,0.036087369,High Efficiency Mover,2106,2106,31,45,75,1289,4010,
4020332650,2016-03-29,Tuesday,Weekday,13,0,Sedentary User,4152,4152,0,0,187,1253,2976,
4020332650,2016-03-30,Wednesday,Weekday,13,0,Sedentary User,5400,5400,0,0,258,795,3418,
4020332650,2016-03-31,Thursday,Weekday,13,0.006865913,High Efficiency Mover,7428,7428,18,33,261,860,3439,
4020332650,2016-04-01,Friday,Weekday,13,0.005980191,High Efficiency Mover,5351,5351,15,17,210,748,3338,
4020332650,2016-04-02,Saturday,Weekend,13,0.00418702,Moderate Mover,4299,4299,3,15,162,752,2892,
4020332650,2016-04-03,Sunday,Weekend,13,0,Sedentary User,6107,6107,0,0,265,776,3313,
4020332650,2016-04-04,Monday,Weekday,14,0.004355265,Moderate Mover,6429,6429,0,28,193,741,3118,
4020332650,2016-04-05,Tuesday,Weekday,14,0.00377907,Moderate Mover,6880,6880,7,19,165,1249,2966,
4020332650,2016-04-06,Wednesday,Weekday,14,0,Sedentary User,7476,7476,0,0,263,920,3253,
4020332650,2016-04-07,Thursday,Weekday,14,0.001215621,Moderate Mover,6581,6581,0,8,241,1191,3032,
4020332650,2016-04-08,Friday,Weekday,14,0.004103053,Moderate Mover,10480,10480,6,37,272,1125,4034,
4020332650,2016-04-09,Saturday,Weekend,14,0.004137574,Moderate Mover,7734,7734,20,12,223,1185,3264,
4020332650,2016-04-10,Sunday,Weekend,14,0.002339637,Moderate Mover,5129,5129,5,7,176,1178,2817,
4020332650,2016-04-11,Monday,Weekday,15,0,Sedentary User,2993,2993,0,0,114,888,2507,
4020332650,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,8,8,0,0,1,321,446,
4057192912,2016-03-12,Saturday,Weekend,10,0,Sedentary User,0,,0,0,0,1440,1777,
4057192912,2016-03-13,Sunday,Weekend,10,0,Sedentary User,0,,0,0,0,1440,1777,
4057192912,2016-03-14,Monday,Weekday,11,0.004387525,Moderate Mover,8433,8433,30,7,135,1268,2453,
4057192912,2016-03-15,Tuesday,Weekday,11,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-03-16,Wednesday,Weekday,11,0.013090229,High Efficiency Mover,2139,2139,0,28,15,1397,1935,
4057192912,2016-03-17,Thursday,Weekday,11,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-03-18,Friday,Weekday,11,0,Sedentary User,949,949,0,0,34,1406,1870,
4057192912,2016-03-19,Saturday,Weekend,11,0,Sedentary User,0,,0,0,0,1440,1777,
4057192912,2016-03-20,Sunday,Weekend,11,0,Sedentary User,44,44,0,0,2,1438,1782,
4057192912,2016-03-21,Monday,Weekday,12,0,Sedentary User,2660,2660,0,0,46,1394,1978,
4057192912,2016-03-22,Tuesday,Weekday,12,0,Sedentary User,5561,5561,0,0,169,1271,2296,
4057192912,2016-03-23,Wednesday,Weekday,12,0.001933969,Moderate Mover,7239,7239,7,7,190,1236,2484,
4057192912,2016-03-24,Thursday,Weekday,12,0,Sedentary User,7,7,0,0,1,1439,1787,
4057192912,2016-03-25,Friday,Weekday,12,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-03-26,Saturday,Weekend,12,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-03-27,Sunday,Weekend,12,0,Sedentary User,2275,2275,0,0,86,1354,2005,
4057192912,2016-03-28,Monday,Weekday,13,0,Sedentary User,8,8,0,0,1,1439,1778,
4057192912,2016-03-29,Tuesday,Weekday,13,0,Sedentary User,5137,5137,0,0,160,1280,2293,
4057192912,2016-03-30,Wednesday,Weekday,13,0,Sedentary User,5419,5419,0,0,145,1295,2259,
4057192912,2016-03-31,Thursday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-04-01,Friday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-04-02,Saturday,Weekend,13,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-04-03,Sunday,Weekend,13,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-04-04,Monday,Weekday,14,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-04-05,Tuesday,Weekday,14,0,Sedentary User,0,,0,0,0,1440,1776,
4057192912,2016-04-06,Wednesday,Weekday,14,0,Sedentary User,18,18,0,0,2,1438,1780,
4057192912,2016-04-07,Thursday,Weekday,14,0,Sedentary User,4,4,0,0,1,1439,1778,
4057192912,2016-04-08,Friday,Weekday,14,0.014478994,High Efficiency Mover,8426,8426,2,120,25,1293,2360,
4057192912,2016-04-09,Saturday,Weekend,14,0,Sedentary User,1650,1650,0,0,60,1380,1952,
4057192912,2016-04-10,Sunday,Weekend,14,0.002329645,Moderate Mover,3434,3434,1,7,108,1324,2101,
4057192912,2016-04-11,Monday,Weekday,15,0,Sedentary User,6801,6801,0,0,193,1247,2393,
4057192912,2016-04-12,Tuesday,Weekday,15,0,Sedentary User,187,187,0,0,11,400,538,
4319703577,2016-03-29,Tuesday,Weekday,13,0.001949318,Moderate Mover,5643,5643,3,8,199,683,1958,
4319703577,2016-03-30,Wednesday,Weekday,13,0.001769324,Moderate Mover,9043,9043,4,12,244,702,2141,
4319703577,2016-03-31,Thursday,Weekday,13,0.002578585,Moderate Mover,8144,8144,4,17,247,1125,2129,
4319703577,2016-04-01,Friday,Weekday,13,0.003639088,Moderate Mover,9343,9343,14,20,268,654,2216,
4319703577,2016-04-02,Saturday,Weekend,13,0.002260559,Moderate Mover,8405,8405,15,4,257,621,2154,
4319703577,2016-04-03,Sunday,Weekend,13,0.005958896,High Efficiency Mover,8223,8223,12,37,257,551,2178,
4319703577,2016-04-04,Monday,Weekday,14,0.004370716,Moderate Mover,10067,10067,5,39,313,578,2308,
4319703577,2016-04-05,Tuesday,Weekday,14,0.002033736,Moderate Mover,8359,8359,3,14,311,638,2201,
4319703577,2016-04-06,Wednesday,Weekday,14,0.005390097,High Efficiency Mover,10946,10946,8,51,308,569,2341,
4319703577,2016-04-07,Thursday,Weekday,14,0.001971522,Moderate Mover,9130,9130,7,11,304,668,2236,
4319703577,2016-04-08,Friday,Weekday,14,0.001528117,Moderate Mover,6544,6544,4,6,276,1132,2069,
4319703577,2016-04-09,Saturday,Weekend,14,0,Sedentary User,0,,0,0,0,1440,0,
4388161847,2016-03-29,Tuesday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1878,
4388161847,2016-03-30,Wednesday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1878,
4388161847,2016-03-31,Thursday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1878,
4388161847,2016-04-01,Friday,Weekday,13,0,Sedentary User,0,,0,0,0,1440,1878,
4388161847,2016-04-02,Saturday,Weekend,13,0,Sedentary User,0,,0,0,0,1440,1878,
4388161847,2016-04-03,Sunday,Weekend,13,0,Sedentary User,0,,0,0,0,1440,1878,
4388161847,2016-04-04,Monday,Weekday,14,0,Sedentary User,0,,0,0,0,1440,1878,
4388161847,2016-04-05,Tuesday,Weekday,14,0,Sedentary User,0,,0,0,0,994,1296,
4445114986,2016-03-29,Tuesday,Weekday,13,0,Sedentary User,2303,2303,0,0,155,807,2010,
4445114986,2016-03-30,Wednesday,Weekday,13,0,Sedentary User,2600,2600,0,0,163,1277,2032,
4445114986,2016-03-31,Thursday,Weekday,13,0,Sedentary User,4804,4804,0,0,238,786,2227,
4445114986,2016-04-01,Friday,Weekday,13,0,Sedentary User,3271,3271,0,0,205,898,2133,
4445114986,2016-04-02,Saturday,Weekend,13,0,Sedentary User,5406,5406,0,0,273,672,2317,
